"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"812
3rd Yr Primary Care Clrkshp","081","","32","3.406","25.0","37.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"813","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813","003","","12","3.208","16.7","16.7","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"813","004","","10","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","005","","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"813","007","","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813","041","","17","3.206","11.8","35.3","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"813","042","","13","3.250",".","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"813","043","","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Cl Neurosci Clrkshp","Course Total","","91","3.265","8.8","40.7","44.0","2.2","2.2",".",".",".",".",".",".",".",".",".",".","2.2"
"840","061","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","062","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","063","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec 4th Yr Precept/Clrkshp","Course Total","","40","3.838","72.5","22.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"852
Preceptorship-Ashland","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"853","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"853","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"853","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Beaver Dam","Course Total","","4","***","","","","","","","","","","","","","","","",""
"855","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Blk Riv Falls","Course Total","","3","***","","","","","","","","","","","","","","","",""
"856","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Eau Claire","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"858","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Green Bay","Course Total","","3","***","","","","","","","","","","","","","","","",""
"859","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"859","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"859","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Janesville","Course Total","","3","***","","","","","","","","","","","","","","","",""
"860","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"862","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"862","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"862","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
