"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"370
Publ Hlth:Local-Globl Perspect","001","","248","3.502","29.0","49.2","16.1","4.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"471
Intro-Environmental Health","001","","46","3.674","56.5","28.3","8.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","010","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","040","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","Course Total","","33","3.924","87.9","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","063","","36","3.903","83.3","13.9","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","069","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Special Topics","Course Total","","57","3.918","87.7","8.8","1.8",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Hlth Impact of Global Envr Chg","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Health Sys, Mngmnt, & Policy","001","","44","3.455","27.3","43.2","25.0","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"786
Social & Behav Sci-Public Hlth","002","","46","3.772","60.9","32.6","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
MPH Field Experience Seminar","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"788
Public Health Field Experience","001","","15","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"796
Intro-Health Services Research","001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","23","3.450","26.1","34.8","17.4","8.7",".",".",".","13.0",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"848
Health Economics","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Chem-Newborn-StateLab","Course Total","","2","***","","","","","","","","","","","","","","","",""
"915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 375 of 409",""
