"","999
077","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
122","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
163","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"ACCT I S
232","Dept. Total","1853","3.366","37.1","19.4","28.1","6.1","7.2","1.0","0.4","0.5","0.1",".","",".","0.1","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","132","3.011","18.2","14.4","38.6","12.1","15.2","1.5",".",".",".",".","",".",".",".",".",".","."
"Junior","","616","3.160","23.9","19.0","38.0","6.7","10.2","1.5","0.3","0.3","0.2",".","",".",".",".",".",".","."
"Senior","","722","3.423","40.9","16.9","26.2","6.9","6.6","1.0","0.8","0.7",".",".","",".",".",".",".",".","."
"Undergraduates","","1470","3.285","31.7","17.6","32.2","7.3","8.9","1.2","0.5","0.5","0.1",".","",".",".",".",".",".","."
"Special","","19","3.526","52.6","5.3","36.8","5.3",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","361","3.726","58.2","27.7","11.1","1.4","0.6",".",".","0.6",".",".","",".","0.3","0.3",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","100.0","."
"Prof Yr 3","","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.000","33.3",".",".",".","33.3",".",".",".",".",".","",".",".",".",".","33.3","."
"","Dept. Total","1853","3.366","37.1","19.4","28.1","6.1","7.2","1.0","0.4","0.5","0.1",".","",".","0.1","0.1",".","0.1","."
