"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
001","19","3.474","15.8","63.2","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.075","20.0","20.0","40.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","003
155","18","3.361","22.2","44.4","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","155
004","20","3.250","15.0","40.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.125","15.0","35.0","35.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
006","20","3.400","35.0","20.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","18","3.472","50.0","33.3","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","155
009","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.184","10.5","36.8","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","3.425","30.0","45.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","155
012","20","3.475","35.0","30.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","20","3.300","35.0","10.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","254","3.337","25.6","35.0","29.1","6.3","2.4","0.8","0.8",".",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","20","3.725","65.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","275
002","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
275","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
007","17","3.406","17.6","47.1","23.5","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Technical Presentations","Course Total","106","3.671","53.8","30.2","12.3","0.9","1.9",".",".",".",".",".",".",".","0.9",".",".","."
"","375
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Intermed Tech Japanese II","Course Total","13","3.909","69.2","15.4",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","397
001","19","3.158","15.8","5.3","73.7","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","18","3.265","5.6","50.0","27.8","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"","003
397","21","3.000","14.3","38.1","23.8","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","397
004","22","3.705","59.1","31.8","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
005","18","3.088","16.7","22.2","27.8","16.7","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","397
006","23","3.435","21.7","43.5","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","17","3.294","17.6","29.4","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","19","3.342","42.1","10.5","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"","009
397","18","3.000","33.3","11.1","22.2","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","010
397","22","3.227","18.2","31.8","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
011","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","22","3.545","36.4","50.0","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
013","16","3.438","12.5","68.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","21","3.571","47.6","23.8","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","19","3.447","21.1","47.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","297","3.356","28.3","33.0","26.6","7.4","3.0","0.3","0.7",".",".",".",".",".","0.7",".",".","."
"Tech Communications Intrshp","398
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
450","9","3.750","22.2","22.2",".",".",".",".",".",".",".",".",".",".","55.6",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 124 of 409",""
