"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"433","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-E Asian Visual Cultures","Course Total","","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"434
Intro-Japanese Linguistics","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Japanese for Politics&Govrnmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Pop Culture & Film-20 C China","001","","14","3.708","50.0","21.4","14.3",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"563
Rdgs-Modern Japanese Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Rdgs-Classical Japanese Lit","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"651
History-Chinese Literature","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.841","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"833","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"833","002","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topics-E Asian Visual Cultures","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"951
Smr-Chinese Literature","001","","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"971
Seminar in Chinese Thought","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","19","",".",".",".",".",".",".",".","78.9",".",".",".","21.1",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
