"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","644
002","29","3.828","82.8","13.8",".",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","53","3.877","84.9","13.2",".",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","001
650","84","3.101","15.5","29.8","34.5","11.9","4.8","1.2","2.4",".",".",".",".",".",".",".",".","."
"","656
001","15","3.707","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","656
002","11","3.409","36.4","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","26","3.603","69.2","15.4",".","11.5",".",".","3.8",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","001
659","23","3.952","91.3",".","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Topics-Contemp Soc Welfare","662
001","15","3.425","33.3","26.7","20.0","13.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"Topics-Contemp Soc Welfare","664
001","25","3.850","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","14","3.919","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","711
001","30","3.367","13.3","50.0","33.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","Course Total","43","3.372","11.6","53.5","32.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","742
001","14","3.500","7.1","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
002","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
742","22","3.286","18.2","36.4","27.3","9.1","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","742
005","28","3.696","53.6","35.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","81","3.581","39.5","42.0","12.3","3.7","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"","801
001","15","3.893","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","801
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
012","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
013","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
014","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
801","11","3.952","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
021","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
023","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
024","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
801","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
026","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
027","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
028","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","161","3.919","84.5","13.0","1.9",".",".",".",".",".",".",".",".",".","0.6",".",".","."
