"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lt Tran:Dante-Divine Comedy","253
001","","22","3.409","27.3","36.4","31.8",".","4.5",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Ancient & Medieval Science","322
001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","","9","3.484","33.3","44.4","11.1",".","11.1",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Lit in Trans-Icelandic Saga","346
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Francis of Assisi: Lit/Arts","440
001","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Kalevala&Finnish Folk-Lore","444
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","","13","3.727","46.2","30.8","7.7",".",".",".",".","",".","",".","",".",".","",".","","15.4",".",".","."
"Byzantine Med & Pharmacy","562
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","63","3.473","33.3","36.5","15.9","1.6","4.8","1.6","",".","",".","",".",".","",".","",".","6.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","3.250",".","50.0","50.0",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","22","3.705","45.5","40.9","9.1",".",".",".","",".","",".","",".",".","",".","",".","4.5",".",".","."
"Senior","","","31","3.292","25.8","32.3","16.1","3.2","9.7","3.2","",".","",".","",".",".","",".","",".","9.7",".",".","."
"Undergraduates","","","59","3.445","30.5","37.3","16.9","1.7","5.1","1.7","",".","",".","",".",".","",".","",".","6.8",".",".","."
"Special","","","3","3.833","66.7","33.3",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","63","3.473","33.3","36.5","15.9","1.6","4.8","1.6","",".","",".","",".",".","",".","",".","6.3",".",".","."
