"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","210","3.698","67.6","20.5","6.2","1.9","1.9","0.5","1.4",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","37","3.486","24.3","48.6","16.2","5.4",".",".",".",".",".",".",".",".","2.7","2.7",".","."
"Topics-Asian Amer Studies","240
001","33","3.879","81.8","15.2",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","40","3.776","57.5","32.5","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Asian Americans and Media","420
001","6","2.900","16.7","16.7","16.7",".","33.3",".",".",".",".",".",".",".","16.7",".",".","."
"Special Topics","540
001","33","3.833","72.7","21.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001","13","3.458","30.8","38.5","15.4",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","002
560","23","3.750","65.2","13.0","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","560
003","33","3.682","60.6","27.3","9.1",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Humanities Topics","Course Total","69","3.664","56.5","24.6","13.0",".","1.4","1.4",".","1.4",".",".",".",".","1.4",".",".","."
"Race & Sexuality in Amer Lit","654
001","8","3.250","37.5",".","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","488","3.697","61.9","24.2","8.2","1.4","1.6","0.4","0.6","0.6",".",".",".",".","0.8","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","49","3.627","57.1","26.5","10.2","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Sophomore","","151","3.747","66.9","22.5","5.3","2.0","1.3",".","0.7",".",".",".",".",".","1.3",".",".","."
"Junior","","109","3.737","59.6","30.3","9.2",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Senior","","173","3.642","60.1","22.0","9.8","1.7","2.3","0.6","1.2","0.6",".",".",".",".","1.2","0.6",".","."
"Undergraduates","","482","3.695","61.8","24.5","8.3","1.5","1.7","0.4","0.6","0.2",".",".",".",".","0.8","0.2",".","."
"Special","","5","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","488","3.697","61.9","24.2","8.2","1.4","1.6","0.4","0.6","0.6",".",".",".",".","0.8","0.2",".","."
