"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","72","3.229","40.3","16.7","19.4","5.6","9.7","2.8","2.8","2.8",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","39","3.486","51.3","17.9","15.4","2.6","5.1",".","2.6",".",".",".",".",".",".",".","5.1","."
"Opera","105
001","82","3.601","63.4","3.7","15.9","2.4","1.2","2.4","1.2","9.8",".",".",".",".",".",".",".","."
"","113
001","619","3.981","97.1","1.9",".",".","0.5",".",".","0.3",".",".",".",".",".",".",".","0.2"
"","113
002","108","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","727","3.981","82.7","1.7",".",".","0.4",".",".","15.1",".",".",".",".",".",".",".","0.1"
"","122
001","18","3.083","16.7","22.2","50.0","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","002
122","26","3.385","26.9","26.9","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","44","3.261","22.7","25.0","45.5","4.5",".",".","2.3",".",".",".",".",".",".",".",".","."
"","151
001","37","3.639","64.9","16.2","8.1","5.4",".",".","2.7","2.7",".",".",".",".",".",".",".","."
"","002
151","63","3.633","49.2","33.3","6.3","1.6","4.8",".",".","3.2",".",".",".",".",".","1.6",".","."
"","151
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","104","3.595","53.8","26.0","6.7","3.8","4.8",".","1.0","2.9",".",".",".",".",".","1.0",".","."
"","101
172","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","9","2.722",".","33.3","44.4",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","172
103","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
172","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
172","9","3.167","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","44","3.227","18.2","31.8","40.9","4.5","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","308","3.626","48.4","27.3","12.3","5.2","0.6",".",".","1.3",".",".",".",".",".",".","4.5","0.3"
"Survey-Hist Western Music","212
001","42","2.976","23.8","11.9","33.3","7.1","16.7","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"","222
001","16","3.375","37.5","37.5","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","222
002","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","30","3.467","33.3","46.7","16.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","254
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
002","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Ensemble: Wisconsin Singers","Course Total","54","3.991","96.3","1.9",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","265
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","001
266","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","267
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
