"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","","70","3.432","60.0","12.9","7.1",".","8.6",".","5.7",".","1.4",".",".",".","2.9",".",".","1.4"
"The African Storyteller","210
001","","53","2.745","9.4","20.8","18.9","22.6","24.5","1.9","1.9",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","","15","3.107","20.0","20.0","26.7","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","42","3.232","21.4","38.1","21.4","2.4","11.9","2.4",".","2.4",".",".",".",".",".",".",".","."
"African Lit in Translation","300
001","","16","3.313","56.3",".","18.8",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","12","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","002
322","","17","3.506","52.9","17.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","17","3.691","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
322","","6","3.926","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","","52","3.709","63.5","15.4","9.6","3.8","1.9",".",".",".",".",".",".",".","5.8",".",".","."
"","001
324","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","17","3.344","17.6","41.2","29.4",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","Course Total","","24","3.413","25.0","37.5","29.2",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","325
001","","6","3.000",".","33.3","33.3",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"","325
002","","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","Course Total","","12","3.045","8.3","25.0","41.7",".","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Colloquial Arabic","326
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","11","3.676","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","Course Total","","24","3.849","83.3","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","","10","3.600","60.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang-S Africa: Zulu","338
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","001
402","","17","3.759","52.9","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Adv Studies-Swahili Lang-Rd","436
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Sixth Semester Yoruba","476
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"6th Sem Lang-Southrn Africa","494
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","","16","3.848","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Struct&Analysis-Afric Langs","501
001","","6","3.684","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","669
007","","15","3.200","46.7","6.7","13.3","6.7","26.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
