"L&S","","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"","176
001","","36","3.611","52.8","19.4","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
176","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
176","","19","3.211","26.3","26.3","15.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","Course Total","","70","3.486","41.4","25.7","22.9","8.6","1.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","","358","3.392","27.1","32.7","33.5","5.3","0.6","0.6",".",".",".",".",".",".",".",".","0.3","."
"Mass Communication Practices","202
001","","120","3.521","21.7","65.0","9.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","12","3.417","33.3","33.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","14","3.385","28.6","35.7","14.3","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".","."
"","335
003","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","49","3.458","32.7","34.7","24.5","2.0","4.1",".",".",".",".",".",".",".",".","2.0",".","."
"","001
345","","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","73","3.932","86.3","13.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Interpatn Contemp Affairs","404
001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics","411
001","","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","","13","3.333","30.8","30.8","23.1",".",".","7.7",".",".",".",".",".",".","7.7",".",".","."
"Electronc News-Web & Broadcast","419
001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
002","","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
447","","24","3.396","33.3","33.3","12.5","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","","48","3.688","64.6","18.8","6.3","10.4",".",".",".",".",".",".",".",".",".",".",".","."
"","014
475","","14","3.827","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
015","","25","3.657","40.0","52.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","39","3.718","48.7","46.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","","6","2.833","16.7","33.3","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","","62","3.361","32.3","21.0","32.3","11.3","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"Mass Communication&Society","561
001","","47","3.614","51.1","21.3","14.9","4.3","2.1",".",".","6.4",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","73","3.174","15.1","32.9","28.8","15.1","6.8",".",".","1.4",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
001","","24","3.261","4.2","45.8","41.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","618
002","","22","3.318","22.7","31.8","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","Course Total","","46","3.289","13.0","39.1","37.0","8.7",".",".",".","2.2",".",".",".",".",".",".",".","."
"International Communication","001
620","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","","19","3.500","42.1","26.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","","21","3.190","9.5","57.1","23.8",".",".","9.5",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","001
669","","26","3.942","96.2",".",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
001","","21","3.524","61.9","9.5","19.0",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","676
030","","68","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
038","","25","3.620","40.0","44.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
