"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1415","3.179","27.8","20.4","22.8","11.6","8.1","1.9","1.2","4.0","0.1","0.4","",".","0.6","0.6","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","2.914","7.7","26.9","35.9","10.3","10.3","5.1","2.6",".",".",".","",".",".","1.3",".",".","."
"Sophomore","","259","3.193","23.9","23.9","28.6","12.4","9.7","0.8","0.4",".",".","0.4","",".",".",".",".",".","."
"Junior","","343","3.061","24.5","21.6","24.2","13.1","11.4","1.7","2.3","0.3",".",".","",".",".","0.3","0.3","0.3","."
"Senior","","541","3.163","29.0","19.4","22.6","13.3","7.9","2.6","1.1","2.6","0.2",".","",".","0.2","0.7","0.2","0.2","."
"Undergraduates","","1221","3.124","25.3","21.5","25.1","12.9","9.4","2.1","1.4","1.2","0.1","0.1","",".","0.1","0.5","0.2","0.2","."
"Special","","63","3.454","27.0","27.0","19.0","7.9",".",".",".","7.9",".","6.3","",".",".",".","1.6",".","."
"Graduate","","131","3.814","51.9","6.9","2.3","1.5",".","0.8",".","27.5",".",".","",".","6.1","2.3",".","0.8","."
"","Dept. Total","1415","3.179","27.8","20.4","22.8","11.6","8.1","1.9","1.2","4.0","0.1","0.4","",".","0.6","0.6","0.2","0.2","."
