"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","2002","3.318","30.8","29.6","21.9","7.2","4.6","1.2","1.2","1.9","",".",".","",".","0.1","0.7","0.1","0.4","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","212","3.079","17.5","27.4","31.6","10.8","7.5","2.4","1.9","0.5","",".",".","",".",".",".",".",".","0.5"
"Sophomore","","507","3.313","28.6","32.1","23.7","9.3","3.9","1.0","1.0",".","",".",".","",".",".","0.2","0.2",".","."
"Junior","","523","3.352","32.5","31.9","21.8","4.8","5.5","1.0","1.3","0.6","",".",".","",".",".","0.2",".","0.4","."
"Senior","","664","3.360","34.5","29.8","20.5","6.6","4.1","1.5","1.2","0.8","",".",".","",".","0.2","0.3","0.3","0.3","."
"Undergraduates","","1906","3.312","30.5","30.7","22.9","7.3","4.8","1.3","1.3","0.5","",".",".","",".","0.1","0.2","0.2","0.2","0.1"
"Special","","17","2.667","11.8","5.9",".","29.4",".",".","5.9","17.6","",".",".","",".",".",".",".","29.4","."
"Graduate","","77","3.806","41.6","7.8","1.3","1.3","1.3",".",".","33.8","",".",".","",".","1.3","11.7",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".",".","50.0",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".",".","50.0",".",".","."
"","Dept. Total","2002","3.318","30.8","29.6","21.9","7.2","4.6","1.2","1.2","1.9","",".",".","",".","0.1","0.7","0.1","0.4","0.0"
