"","990
020","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
021","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
022","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis-Research","Course Total","49","",".",".",".",".",".",".",".","95.9",".",".",".","4.1","",".",".",".","."
"CBE
220","Dept. Total","898","3.178","29.7","14.3","19.4","12.0","7.8","2.4","0.2","12.4",".","0.2",".","1.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","15","3.382","53.3","6.7","13.3","26.7",".",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","152","3.057","27.0","15.1","27.6","13.2","12.5","4.6",".",".",".",".",".",".","",".",".",".","."
"Senior","","520","3.195","32.9","17.7","23.1","15.4","8.8","2.1",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","688","3.168","32.1","16.9","23.8","15.1","9.4","2.6",".",".",".",".",".",".","",".",".",".","."
"Special","","23","2.282","13.0","8.7","13.0","17.4","21.7","17.4","8.7",".",".",".",".",".","",".",".",".","."
"Graduate","","197","3.755","26.9","5.1","3.6",".",".",".",".","56.3",".","1.0",".","7.1","",".",".",".","."
"","Dept. Total","908","3.178","30.5","14.1","19.2","11.9","7.7","2.4","0.2","12.2",".","0.2",".","1.5","",".",".",".","."
