"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","3195","3.555","50.1","22.3","15.4","4.7","2.2","0.4","0.3","2.6","",".","1.6",".","0.2","0.1",".","0.2","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.231","30.8","23.1","23.1","7.7","15.4",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","84","3.462","54.8","11.9","19.0","6.0","4.8","3.6",".",".","",".",".",".",".",".",".",".","."
"Junior","","88","3.694","72.7","6.8","11.4","5.7","3.4",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","189","3.623","67.7","13.2","8.5","5.3","1.6","1.1","1.6","1.1","",".",".",".",".",".",".",".","."
"Undergraduates","","374","3.590","64.7","11.8","12.0","5.6","3.2","1.3","0.8","0.5","",".",".",".",".",".",".",".","."
"Special","","9","3.889","44.4","11.1",".",".",".",".",".","11.1","",".",".",".",".",".",".","33.3","."
"Graduate","","146","3.766","30.1","0.7","1.4","1.4","0.7",".",".","33.6","",".","28.8",".","3.4",".",".",".","."
"Prof Yr 1","","695","3.369","41.6","27.1","21.7","6.0","2.3","0.7",".",".","",".","0.4",".",".",".",".","0.1","."
"Prof Yr 2","","886","3.461","45.0","25.5","19.0","5.6","3.3","0.1","0.1","1.2","",".",".",".",".","0.1",".",".","."
"Prof Yr 3","","837","3.525","52.1","25.4","12.9","3.9","1.3","0.2","0.6","2.5","",".","0.6",".",".","0.1",".","0.2","."
"Prof Yr 4","","248","3.827","75.4","15.7","6.9","0.8","0.8",".","0.4",".","",".",".",".",".",".",".",".","."
"Professionals","","2666","3.549","49.2","25.0","16.7","4.8","2.2","0.3","0.3","1.2","",".","0.3",".",".","0.1",".","0.1","."
"","College Total","3195","3.555","50.1","22.3","15.4","4.7","2.2","0.4","0.3","2.6","",".","1.6",".","0.2","0.1",".","0.2","."
