"BIOSTATISTICS & MED INFORM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I","542","002","","24","3.563","45.8","45.8","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Pract-Clin Trial Data Analysis","546","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Mthds for Med Image Anlys","767","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Bioinformatics","776","001","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","826","003","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915","001","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Hlth Informatics-Med Students","918","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","","Dept. Total","","57","3.635","50.9","29.8","10.5",".",".",".","1.8","7.0",".",".",".",".",".",".",".","."
