"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"424
Contemp World Theatre & Lit","001","","36","3.597","47.2","36.1","8.3","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"462
Thtr-Yng Audiences:Productn","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Costume Technology Topics","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
Stage Lighting Design II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Advanced Scene Study","001","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","16","3.947","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Costume Design II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Advanced Stagecraft","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Set Design II","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","006","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","63","3.957","96.8","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"661
Advanced Production Practicum","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Adv Theatre Hist-500bc-1700","001","","18","3.794","61.1","27.8","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"740
Voice Training","001","","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"911
Smr-Probs in Theatre&Drama","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 318 of 409",""
