"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","","22","2.932","9.1","27.3","31.8","4.5","27.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Chicano/a Studies","330","001","","18","3.444","66.7","11.1","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Latino/as and Media","419","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","","26","3.426","30.8","34.6","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Integrative Smr-Chicana/o St","510","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","3.870","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
