"","300
002","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Humanities Topics in EAS","Course Total","25","3.458","48.0","16.0","20.0","8.0",".","4.0","",".","4.0","",".",".","",".","",".","",".",".",".","."
"","301
001","30","3.650","63.3","13.3","16.7","3.3","3.3",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","301
002","62","3.887","87.1","6.5","4.8",".","1.6",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Social Studies Topics in EAS","Course Total","92","3.810","79.3","8.7","8.7","1.1","2.2",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Thesis","692
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","698
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","173","3.614","61.3","13.3","15.6","3.5","3.5","1.2","",".","0.6","",".","1.2","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.393","35.7","21.4","35.7",".","7.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","26","3.558","61.5","11.5","19.2",".","3.8","3.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","41","3.683","68.3","9.8","19.5",".",".","2.4","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","90","3.629","62.2","14.4","10.0","6.7","4.4",".","",".","1.1","",".","1.1","",".","",".","",".",".",".","."
"Undergraduates","","171","3.612","61.4","13.5","15.8","3.5","3.5","1.2","",".","0.6","",".","0.6","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","173","3.614","61.3","13.3","15.6","3.5","3.5","1.2","",".","0.6","",".","1.2","",".","",".","",".",".",".","."
