"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Society's Egr Challenges","102
001","74","3.627","51.4","21.6","18.9","4.1",".",".",".",".","",".","",".",".","",".","","4.1",".",".","."
"Core Comp for Engr Leaders","103
001","31","3.710","80.6","6.5","6.5",".","3.2",".","3.2",".","",".","",".",".","",".","",".",".",".","."
"","160
001","184","3.644","52.7","29.9","12.0","4.3","1.1",".",".",".","",".","",".",".","",".","",".",".",".","."
"","160
002","172","3.529","40.7","36.6","16.9","2.9","1.7","0.6","0.6",".","",".","",".",".","",".","",".",".",".","."
"Intro to Engineering Design","Course Total","356","3.588","46.9","33.1","14.3","3.7","1.4","0.3","0.3","",".","",".",".","",".","",".",".",".",".","."
"Current Issues in Intl Engr","413
002","19","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Women&Leadershp-Med, Sci, Engr","650
001","6","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"INTEREGR
496","Dept. Total","486","3.607","52.5","28.0","13.8","3.3","1.2","0.2","0.4","",".","",".",".","",".","",".","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","144","3.516","39.6","35.4","15.3","4.9","2.8",".",".","",".","",".",".","",".","",".","1.4","0.7",".","."
"Sophomore","","345","3.636","62.9","22.3","10.7","1.7","0.6","0.3","0.6","",".","",".",".","",".","",".","0.3","0.6",".","."
"Junior","","139","3.607","87.8","5.0","5.8","1.4",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","46","3.850","97.8",".",".","2.2",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","674","3.603","65.4","20.0","9.9","2.4","0.9","0.1","0.3","",".","",".",".","",".","",".","0.4","0.4",".","."
"Special","","5","3.813","80.0","20.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","6","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","685","3.607","65.8","19.9","9.8","2.3","0.9","0.1","0.3","",".","",".",".","",".","",".","0.4","0.4",".","."
