"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","89","2.871","32.6","9.0","15.7","14.6","14.6","12.4","1.1",".",".",".",".",".",".",".",".","."
"","224
002","69","3.087","30.4","10.1","30.4","10.1","15.9","2.9",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","158","2.965","31.6","9.5","22.2","12.7","15.2","8.2","0.6",".",".",".",".",".",".",".",".","."
"","001
301","124","2.891","36.3","12.9","19.4","2.4","12.1","10.5","6.5",".",".",".",".",".",".",".",".","."
"","301
003","129","3.116","31.0","18.6","26.4",".","20.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"","004
301","91","2.797","28.6","7.7","20.9","13.2","19.8","3.3","6.6",".",".",".",".",".",".",".",".","."
"","301
005","98","2.816","26.5","2.0","26.5","20.4","16.3","5.1","3.1",".",".",".",".",".",".",".",".","."
"","006
301","82","2.665","26.8","18.3","18.3","4.9","4.9","18.3","8.5",".",".",".",".",".",".",".",".","."
"","007
301","43","3.233","27.9","23.3","30.2","9.3","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"","301
008","204","3.135","27.0","21.6","25.0","12.3","11.8","1.0","1.5",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","771","2.968","29.3","15.3","23.6","8.8","13.9","5.3","3.8",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","001
310","57","2.965","26.3","12.3","28.1","15.8","12.3",".","5.3",".",".",".",".",".",".",".",".","."
"","311
001","51","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","49","2.888","18.4","22.4","26.5","4.1","18.4","10.2",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","100","3.200","27.0","26.0","31.0","2.0","9.0","5.0",".",".",".",".",".",".",".",".",".","."
"","001
312","18","3.278","33.3","27.8","11.1","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
312","45","3.398","33.3","33.3","24.4",".","4.4",".","2.2","2.2",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","63","3.363","33.3","31.7","20.6","4.8","6.3",".","1.6","1.6",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","92","3.549","46.7","20.7","29.3","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","38","3.329","34.2","13.2","39.5","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","43","2.860","25.6","11.6","25.6","7.0","20.9","7.0","2.3",".",".",".",".",".",".",".",".","."
"","371
001","97","3.141","20.6","15.5","47.4","8.2","5.2","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"","002
371","139","3.763","71.2","16.5","8.6","0.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","371
003","136","3.092","36.8","2.9","36.0","5.1","14.7","1.5","2.9",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","372","3.356","45.4","11.3","28.8","4.3","7.8","0.8","1.3",".",".",".",".",".","0.3",".",".","."
"Intro-Survey Theory & Meths","001
411","41","3.434","29.3","34.1","19.5","7.3","2.4",".",".","4.9",".",".",".",".","2.4",".",".","."
"Stat Expermntl Design-Engrs","001
424","43","3.477","34.9","34.9","27.9",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"","431
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
431","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","431
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
431","6","3.083","33.3","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","17","3.000","23.5","23.5","17.6","11.8","5.9","11.8",".","5.9",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","74","3.500","28.4","36.5","28.4",".",".",".",".","6.8",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","22","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","6","3.400","50.0",".",".","33.3",".",".",".",".",".",".",".",".","16.7",".",".","."
"Statistcl Mthds-Epidemiolgy","001
642","15","3.786","53.3","40.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","682
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 314 of 409",""
