"","991
012","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","991
013","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"","991
019","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","12","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"SLAVIC
888","Dept. Total","270","3.670","66.7","14.1","7.8","2.6","1.1","1.1","0.7","5.6",".",".",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.379","43.8","37.5","12.5",".",".",".","6.3",".",".",".",".","",".",".",".",".","."
"Sophomore","","47","3.651","57.4","25.5","12.8","2.1","2.1",".",".",".",".",".",".","",".",".",".",".","."
"Junior","","50","3.512","68.0","14.0","8.0",".","4.0","4.0","2.0",".",".",".",".","",".",".",".",".","."
"Senior","","93","3.731","73.1","10.8","9.7","5.4",".",".",".","1.1",".",".",".","",".",".",".",".","."
"Undergraduates","","206","3.629","66.0","17.0","10.2","2.9","1.5","1.0","1.0","0.5",".",".",".","",".",".",".",".","."
"Special","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Graduate","","56","3.921","66.1","5.4",".","1.8",".",".",".","25.0",".",".",".","",".","1.8",".",".","."
"Prof Yr 2","","1","1.000",".",".",".",".",".","100.0",".",".",".",".",".","",".",".",".",".","."
"Professionals","","1","1.000",".",".",".",".",".","100.0",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","270","3.670","66.7","14.1","7.8","2.6","1.1","1.1","0.7","5.6",".",".",".","",".","0.4",".",".","."
