"","799
003","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
004","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
006","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","13","4.000","84.6",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","15.4",".",".","."
"PHY THER
745","Dept. Total","572","3.687","38.1","22.0","4.0",".","",".","",".","",".","",".","",".","35.3","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","2","3.333","50.0",".","50.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","5","3.571","60.0","20.0","20.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","238","3.700","48.7","29.0","5.5",".","",".","",".","",".","",".","",".","16.4","",".","",".","0.4",".",".","."
"Prof Yr 2","","206","3.673","48.1","27.2","4.4",".","",".","",".","",".","",".","",".","19.4","",".","",".","1.0",".",".","."
"Prof Yr 3","","123","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Professionals","","567","3.688","37.9","22.0","3.9",".","",".","",".","",".","",".","",".","35.6","",".","",".","0.5",".",".","."
"","Dept. Total","572","3.687","38.1","22.0","4.0",".","",".","",".","",".","",".","",".","35.3","",".","",".","0.5",".",".","."
