"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","19","3.711","68.4","5.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","32","3.625","50.0","34.4","9.4","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"300","001","","27","3.815","66.7","29.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","31","3.790","67.7","25.8","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","58","3.802","67.2","27.6","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","64","3.230","26.6","17.2","40.6","9.4","1.6","3.1",".",".",".",".",".",".",".",".","1.6","."
"478
Compar Hist-Chldhood&Adoles","001","","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"500
Social Issues and Education","001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Intro-Debates in Higher Ed Pol","001","","21","3.675","33.3","61.9",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"560
Gender and Education","001","","15","3.733","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Educ Pol","Course Total","","45","3.911","82.2","17.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Hist of Fed Role in Amer Educ","001","","13","3.269","38.5","38.5","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"675","001","","14","3.731","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"675","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Comparitv & Intl Educ","Course Total","","18","3.794","61.1","27.8","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"677
Education, Health & Sexuality","001","","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"780
Special Topics in Educ Policy","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"789
Qual Rsch Mthds-Educ: Field II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 90 of 409"
