"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","2","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","14","3.696","64.3","21.4","7.1","7.1",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","36","3.778","61.1","22.2","11.1","2.8",".","",".","",".",".","",".",".","",".",".",".",".",".","2.8"
"Undergraduates","53","3.731","60.4","20.8","13.2","3.8",".","",".","",".",".","",".",".","",".",".",".",".",".","1.9"
"Special","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","181","3.786","65.7","21.0","7.2","1.7","0.6","",".","",".","1.7","",".",".","",".","1.1","1.1",".",".","."
"Prof Yr 4","1","",".",".",".",".",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
"Professionals","1","",".",".",".",".",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
