"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","124","3.264","25.0","28.2","30.6","8.1","6.5",".","0.8","0.8",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","56","3.839","83.9","7.1","3.6","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","39","3.513","59.0","12.8","12.8","12.8",".",".","2.6",".",".",".",".",".",".",".",".","."
"","321","001","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","19","3.579","52.6","42.1",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","39","3.654","48.7","48.7",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","34","3.176","35.3","11.8","29.4","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","66","3.697","54.5","31.8","12.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","37","3.824","64.9","35.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","389","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","48","3.604","50.0","31.3","10.4","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","41","3.049","9.8","26.8","41.5","12.2","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","40","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","15","2.967","26.7","13.3","20.0","33.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","61","3.933","85.2","13.1",".",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Patient Safety&Error Reduction","559","001","42","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","35","3.559","31.4","45.7","20.0",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Intro-Quality Engineering","575","001","59","3.627","42.4","47.5","6.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","26","3.442","23.1","50.0","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608","001","8","3.375",".","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","001","40","3.400","35.0","30.0","17.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","34","3.353","38.2","17.6","29.4","11.8",".","2.9",".",".",".",".",".",".",".",".",".","."
"","632","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","6","3.333","50.0","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","34","3.576","44.1","32.4","11.8","8.8",".",".",".",".",".",".",".",".","2.9",".",".","."
"Design & Anal-Manufact Sys","641","001","35","3.857","74.3","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 129 of 409",""
