"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","115
003","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"ESL: Grammar-Academic Use","Course Total","31","",".",".",".",".",".",".",".",".",".","93.5","6.5",".",".",".",".","."
"","001
116","14","",".",".",".",".",".",".",".",".",".","78.6","14.3",".",".",".",".","7.1"
"","116
002","17","",".",".",".",".",".",".",".",".",".","70.6","29.4",".",".",".",".","."
"","004
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
005","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","006
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
007","17","",".",".",".",".",".",".",".",".",".","88.2","11.8",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","95","",".",".",".",".",".",".",".",".",".","84.2","14.7",".",".",".",".","1.1"
"","117
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","003
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","005
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","117
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
011","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
012","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"","013
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
015","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
017","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","268","",".",".",".",".",".",".",".",".",".","97.4","2.6",".",".",".",".","."
"","118
001","13","3.385","30.8","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","14","3.107","21.4","21.4","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","118
003","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","13","3.385","69.2",".","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","118
005","12","3.167","25.0","25.0","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","006
118","11","3.182","18.2","27.3","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","007
118","16","3.156","31.3","12.5","31.3","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","008
118","15","3.200","13.3","33.3","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","118
009","15","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","12","3.250","50.0","16.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","118
011","14","3.321","28.6","21.4","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","012
118","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
013","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
014","12","3.042","25.0","16.7","41.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","118
015","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","016
118","15","3.667","73.3","6.7",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","017
118","15","3.100","13.3","26.7","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","118
018","14","2.893","21.4","7.1","35.7","28.6",".",".","7.1",".",".",".",".",".",".",".",".","."
