"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","680","3.554","44.1","19.4","14.6","2.8","1.6","1.5","0.1","0.9","",".","13.2","0.3","",".","1.2",".","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","98","3.237","16.3","16.3","19.4","5.1","4.1","2.0",".","1.0","",".","32.7","1.0","",".","2.0",".",".","."
"Sophomore","209","3.494","30.6","23.9","17.7","2.9","0.5","1.0",".",".","",".","22.5","0.5","",".","0.5",".",".","."
"Junior","150","3.550","48.0","23.3","14.7","2.7","1.3","2.0",".",".","",".","6.7",".","",".","1.3",".",".","."
"Senior","216","3.701","68.1","14.4","9.7","1.9","1.4","1.4","0.5","0.9","",".","0.5",".","",".","1.4",".",".","."
"Undergraduates","673","3.556","44.4","19.6","14.7","2.8","1.5","1.5","0.1","0.4","",".","13.4","0.3","",".","1.2",".",".","."
"Special","7","3.000","14.3",".",".",".","14.3",".",".","42.9","",".",".",".","",".",".",".","28.6","."
"Dept. Total","680","3.554","44.1","19.4","14.6","2.8","1.6","1.5","0.1","0.9","",".","13.2","0.3","",".","1.2",".","0.3","."
