"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Thry&Pract-Argument&Debate","262","001","124","2.931","5.6","25.8","40.3","18.5","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","136","3.110","33.8","15.4","20.6","12.5","11.8","5.1","0.7",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","148","2.939","14.2","26.4","31.8","8.8","12.2","3.4","3.4",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","106","2.957","11.3","19.8","41.5","11.3","10.4","4.7",".",".",".",".",".",".",".","0.9",".","."
"Critical Internet Studies","346","001","89","3.218","7.9","44.9","33.7","6.7","3.4","1.1",".","2.2",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","37","3.203","2.7","51.4","40.5",".","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","173","3.108","11.6","29.5","39.3","10.4","6.4","1.2","0.6",".",".",".",".",".",".","0.6",".","0.6"
"Introduction to Television","351","001","155","2.842","9.7","18.1","34.2","22.6","10.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"Film History Since 1960","353","001","51","3.188","15.7","27.5","37.3","11.8",".",".","2.0","3.9",".",".",".",".","2.0",".",".","."
"Film Styles and Genres","354","001","57","3.184","8.8","42.1","35.1","5.3","8.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","120","3.158","5.0","40.8","42.5","7.5","3.3",".","0.8",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","16","3.267","25.0","12.5","50.0",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","75","3.427","26.7","36.0","33.3","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","119","3.077","16.8","23.5","28.6","18.5","10.1","0.8",".","1.7",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","160","2.897","9.4","21.3","33.8","20.0","8.1","3.1","1.9","1.3",".",".",".",".",".",".","1.3","."
"The Rhetoric of Religion","374","001","60","3.017","13.3","35.0","23.3","15.0","8.3","1.7","3.3",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","15","3.800","93.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Asian Americans and Media","420","001","11","3.318","36.4","27.3","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","24","3.417","33.3","29.2","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","12","3.700","58.3",".","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Global Media Cultures","458","001","25","3.020","12.0","36.0","36.0","8.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"New Media and Society","459","001","41","3.390","19.5","43.9","31.7","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.406","6.3","68.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","14","3.692","42.9","42.9","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","30","3.534","23.3","56.7","16.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Writing for TV & Film","466","001","17","3.529","23.5","58.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","35","3.400","20.0","48.6","25.7","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Digital Media & Political Comm","509","001","21","3.429","28.6","33.3","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Media Industries","557","001","23","3.543","39.1","39.1","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","39","3.577","48.7","30.8","12.8","2.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","20","3.400","35.0","20.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
