"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"A Theme in 16th C Eng Lit","402
001","","27","3.889","88.9","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","","31","3.414","38.7","32.3","16.1",".",".","3.2","3.2",".",".",".",".",".","6.5",".",".","."
"","418
002","","25","3.440","52.0","16.0","20.0",".","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Shakespeare","Course Total","","56","3.426","44.6","25.0","17.9",".","3.6","3.6","1.8",".",".",".",".",".","3.6",".",".","."
"Outstnd Figures-17c Eng Lit","425
001","","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442
001","","9","3.389","66.7","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"English Novel: 18th Cent","459
001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465
001","","8","2.688","37.5","12.5","25.0",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468
001","","19","3.278","15.8","31.6","42.1",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"James Joyce","503
001","","27","3.222","14.8","29.6","40.7","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"","504
001","","12","3.636","41.7","33.3","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","504
002","","31","3.403","16.1","48.4","35.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","Course Total","","43","3.464","23.3","44.2","30.2",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Select Major Modern Amer Poets","509
001","","15","3.367","20.0","60.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Recent Poetry in English","512
001","","13","3.577","61.5","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","516
002","","27","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","516
003","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","Course Total","","42","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in Criticism","550
002","","10","3.300","50.0","10.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","001
563","","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","","20","3.675","75.0",".","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","Course Total","","31","3.565","58.1","9.7","22.6","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","574
001","","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","574
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fem Thry&Women Writng-","Course Total","","19","3.579","47.4","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","591
001","","20","3.225","30.0","20.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","591
002","","12","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","Course Total","","32","3.328","34.4","25.0","21.9","9.4","9.4",".",".",".",".",".",".",".",".",".",".","."
"Theme of Early Amer Lit","606
001","","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609
001","","28","3.536","39.3","32.1","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"3 Amer Authors Before 1865","621
001","","9","3.556","66.7","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","626
001","","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","626
002","","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","Course Total","","28","3.482","28.6","39.3","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Amer Lit","630
001","","19","3.528","31.6","42.1","15.8","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Maj Amer Novelists-1914-45","001
635","","32","3.400","31.3","43.8","6.3","6.3","3.1",".","3.1",".",".",".",".",".","6.3",".",".","."
"","654
001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","28","3.375","28.6","50.0","10.7","3.6",".","7.1",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","Course Total","","43","3.465","34.9","44.2","14.0","2.3",".","4.7",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
