"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","377","3.847","85.7","10.1","2.7","0.5","0.8","",".","0.3","",".","",".",".",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.909","91.1","5.4","1.8",".","1.8","",".",".","",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","93","3.846","86.0","8.6","3.2","1.1",".","",".","1.1","",".","",".",".",".","",".","",".",".",".","."
"Junior","","114","3.921","89.5","9.6","0.9",".",".","",".",".","",".","",".",".",".","",".","",".",".",".","."
"Senior","","115","3.765","76.5","15.7","5.2","0.9","1.7","",".",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","378","3.846","84.9","10.6","2.9","0.5","0.8","",".","0.3","",".","",".",".",".","",".","",".",".",".","."
"Special","","4","4.000","100.0",".",".",".",".","",".",".","",".","",".",".",".","",".","",".",".",".","."
"","College Total","382","3.847","85.1","10.5","2.9","0.5","0.8","",".","0.3","",".","",".",".",".","",".","",".",".",".","."
