"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","14","3.214","21.4","14.3","57.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"471
Topics-Medical Physics","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"559
Patient Safety&Error Reduction","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"569
Health Physics","001","","14","3.560","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Adv Brachytherapy Physics","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"575
Diagnos Ultrasound Physics","001","","11","3.350","27.3","18.2","36.4","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Rad Lab-Med Ultrasound Phys","001","","6","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","9","3.958","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","17","3.971","82.4","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".","5.9","."
"719
Molecular Imaging","001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","12","",".",".",".",".",".",".",".","8.3",".",".",".","91.7",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
