"","999
054","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
063","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
080","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","22","3.961","63.6","4.5",".",".",".",".",".","13.6","",".",".",".","9.1",".",".","9.1","."
"E C E
320","Dept. Total","2441","3.364","42.1","18.1","16.3","5.0","5.4","1.3","1.1","4.9","",".","0.2",".","4.9","0.5","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.059","31.3","6.3","37.5","6.3","12.5","6.3",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","135","3.400","52.6","18.5","14.1","3.7","10.4","0.7",".",".","",".",".",".",".",".",".",".","."
"Junior","","479","3.247","47.4","16.7","16.9","6.7","8.8","1.7","1.9",".","",".",".",".",".",".",".",".","."
"Senior","","1059","3.301","43.5","20.7","19.5","6.1","6.2","1.5","1.6","0.1","",".",".",".",".","0.5","0.1","0.1","."
"Undergraduates","","1689","3.291","45.2","19.2","18.5","6.1","7.3","1.5","1.5","0.1","",".",".",".",".","0.3","0.1","0.1","."
"Special","","65","3.197","43.1","12.3","12.3","6.2","9.2","7.7",".","3.1","",".",".","1.5",".","4.6",".",".","."
"Graduate","","794","3.620","29.8","13.6","9.8","1.9","0.3","0.1","0.1","14.6","",".","13.0",".","15.0","0.4","0.1","0.5","."
"","Dept. Total","2548","3.364","40.4","17.3","15.7","4.8","5.2","1.3","1.1","4.7","",".","4.0","0.0","4.7","0.4","0.1","0.2","."
