"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5815","2.863","26.2","14.8","20.9","10.6","14.8","6.4","3.5","0.6","0.0","1.5","0.0","0.0","0.4","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1158","2.647","17.6","14.0","21.2","12.6","17.6","9.0","4.8",".",".","2.5",".",".","0.4",".","0.1","0.2"
"Sophomore","","2079","2.855","23.4","14.5","22.7","11.1","16.2","6.1","3.0",".",".","2.5","0.0",".","0.4",".","0.0","0.1"
"Junior","","1221","2.910","25.5","16.5","21.5","10.8","15.6","6.5","2.4","0.1","0.1","0.4",".",".","0.5","0.2",".","0.1"
"Senior","","913","2.870","28.4","15.3","21.4","10.2","12.7","6.4","5.1",".","0.1","0.1",".",".","0.2","0.1",".","."
"Undergraduates","","5371","2.819","23.5","15.0","21.8","11.2","15.8","6.8","3.6","0.0","0.0","1.6","0.0",".","0.4","0.1","0.0","0.1"
"Special","","104","3.134","47.1","12.5","9.6","5.8","5.8","5.8","5.8","1.9",".",".",".",".",".","1.0","1.0","3.8"
"Graduate","","339","3.738","63.7","11.5","9.1","2.1","1.8",".","0.3","10.0",".",".",".","0.6","0.6",".","0.3","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","5815","2.863","26.2","14.8","20.9","10.6","14.8","6.4","3.5","0.6","0.0","1.5","0.0","0.0","0.4","0.1","0.1","0.2"
