"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","322","2.981","14.3","24.2","30.1","14.9","11.8","3.1","0.9",".",".",".",".",".",".","0.6",".","."
"132","002","","418","2.894","15.1","21.1","26.8","13.9","17.9","3.8","1.2",".",".",".",".",".",".","0.2",".","."
"132","003","","159","2.880","16.4","16.4","30.2","9.4","18.2","5.7","0.6","3.1",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","899","2.923","15.0","21.4","28.6","13.5","15.8","3.9","1.0","0.6",".",".",".",".",".","0.3",".","."
"299","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.859","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","6","3.083","50.0",".","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","134","2.951","27.6","7.5","29.1","8.2","23.1","4.5",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","130","3.608","59.2","21.5","8.5","6.2","3.8",".","0.8",".",".",".",".",".",".",".",".","."
"421","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","003","","9","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Global Health Field Experience","Course Total","","35","4.000","74.3",".",".",".",".",".",".",".",".",".",".",".","25.7",".",".","."
"431
Nutrition in the Life Span","001","","77","3.065","20.8","23.4","26.0","10.4","18.2","1.3",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","44","3.279","45.5","9.1","22.7","4.5","13.6",".","2.3",".",".",".",".",".","2.3",".",".","."
"520
Applications-Clin Nutrition","001","","37","3.819","73.0","13.5","10.8",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"627
Adv Nutrition: Vitamins","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","6","3.750","50.0",".","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"692","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","17","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
