"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","7","4.000","85.7",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","14.3","."
"Junior","12","3.796","75.0","8.3","8.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","8.3","."
"Senior","27","3.961","85.2","7.4",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","7.4","."
"Undergraduates","47","3.927","83.0","6.4","2.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","8.5","."
"Special","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","5","3.571","40.0","20.0","20.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","20.0","."
"Prof Yr 4","150","3.770","60.7","21.3","8.0",".","",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"Professionals","155","3.763","60.0","21.3","8.4",".","",".","",".","",".","9.7","",".",".","",".","",".","",".",".","0.6","."
