"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","",""
"212
001
The Physician in History","36","3.414","22.2","55.6","13.9","2.8",".",".","2.8","2.8",".",".",".",".",".",".",".","."
"213
001
Glbl Envir Hlth:Interdis Intro","170","3.476","29.4","42.4","22.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"284
001
Physician in Hist (Honors)","2","***","","","","","","","","","",".",".",".",".",".",".","."
"507
001
Health, Disease & Healing I","8","3.571","12.5","75.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"509
001
Dev Public Health-America","15","3.571","20.0","66.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"515
001
Public Health Ethics","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"523
001
Race, Amer Med & Pub Health","24","3.565","33.3","41.7","20.8",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"532
001
History of the (American) Body","5","***","","","","","","","","","",".",".",".",".",".",".","."
"558
001
Ethical Issues in Health Care","31","3.397","19.4","38.7","32.3","3.2",".",".",".","6.5",".",".",".",".",".",".",".","."
"562
001
Byzantine Med & Pharmacy","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565
001
Ethics of Modern Biotechnology","4","***","","","","","","","","","",".",".",".",".",".",".","."
"668
001
Topics in History of Med","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
001
Ind Study in Med History","1","***","","","","","","","","","",".",".",".",".",".",".","."
"709
001
Development of Pub Health-Amer","3","***","","","","","","","","","",".",".",".",".",".",".","."
"730
001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
002","16","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Course Total
Ethical Issues in Medicine","25","3.778","28.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".","64.0","."
"999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Advanced Independent Study","3","***","","","","","","","","","","","","","","","",""
"MED HIST
Dept. Total
452","351","3.504","30.5","39.9","19.1","3.4",".",".","0.3","0.9",".",".",".",".","1.4",".","4.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","",""
"Freshmen","9","3.520","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","33","3.424","21.2","57.6","6.1","15.2",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","103","3.471","25.2","45.6","25.2","2.9",".",".",".",".",".",".",".",".","1.0",".",".","."
"Senior","159","3.505","32.7","40.3","22.0","2.5",".",".","0.6","1.3",".",".",".",".","0.6",".",".","."
"Undergraduates","304","3.485","28.9","44.1","21.4","3.9",".",".","0.3","0.7",".",".",".",".","0.7",".",".","."
"Special","3","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","15","3.797","46.7","33.3",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Prof Yr 1","10","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Prof Yr 2","8","4.000","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","75.0","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","10","3.833","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","29","3.882","37.9",".","6.9",".",".",".",".",".",".",".",".",".",".",".","55.2","."
"Dept. Total","351","3.504","30.5","39.9","19.1","3.4",".",".","0.3","0.9",".",".",".",".","1.4",".","4.6","."
