"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","25","3.760","60.0","36.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","27","3.759","51.9","48.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","24","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","25","3.760","52.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","25","3.740","48.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","26","3.827","65.4","34.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
300","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","324","3.806","63.0","35.5","1.2","0.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","116","2.909","16.4","5.2","42.2","19.8","14.7","1.7",".",".",".",".",".",".",".",".",".","."
"","301
002","261","3.027","13.4","12.3","51.0","16.1","6.1","0.8","0.4",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","377","2.991","14.3","10.1","48.3","17.2","8.8","1.1","0.3",".",".",".",".",".",".",".",".","."
"","302
001","24","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","27","3.315","29.6","18.5","40.7","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","51","3.422","35.3","25.5","29.4","7.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"","303
001","116","3.117","22.4","15.5","41.4","4.3","14.7","0.9",".","0.9",".",".",".",".",".",".",".","."
"","010
303","79","2.709","11.4","15.2","36.7","5.1","21.5","6.3","3.8",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","195","2.951","17.9","15.4","39.5","4.6","17.4","3.1","1.5","0.5",".",".",".",".",".",".",".","."
"","304
001","93","3.285","29.0","19.4","41.9","3.2","5.4",".","1.1",".",".",".",".",".",".",".",".","."
"","002
304","61","3.254","26.2","14.8","52.5","3.3","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","154","3.273","27.9","17.5","46.1","3.2","3.9",".","1.3",".",".",".",".",".",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","311
001","271","3.125","22.5","14.0","36.2","7.0","12.5","0.4","0.4","7.0",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","27","3.731","55.6","29.6","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","365
007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","45","3.841","73.3","17.8","6.7",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sys Thinking & Sustainable Bus","601
001","29","3.586","55.2","13.8","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","85","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","22","3.900","72.7","18.2",".",".",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","52","3.606","30.8","59.6","9.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","37","3.514","32.4","37.8","29.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","91","3.572","33.0","49.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Communicatn-Dissertsators","975
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
