"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","17","3.367","35.3","29.4","5.9",".","17.6",".",".","5.9",".",".",".",".",".",".","5.9","."
"","101
004","17","3.353","29.4","35.3","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.476","57.1","19.0","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","101
008","14","3.769","57.1","28.6","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","009
101","21","3.447","42.9","23.8","9.5","9.5",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"","101
010","20","3.639","65.0","15.0","5.0",".",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"","101
011","16","3.567","68.8","6.3","12.5",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","101
012","19","3.824","68.4","15.8",".","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"First Semester French","Course Total","145","3.548","53.1","21.4","9.0","3.4","3.4","0.7","2.1","6.2",".",".",".",".",".",".","0.7","."
"","102
002","20","3.150","10.0","45.0","30.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","102
004","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","24","3.250","37.5","25.0","16.7","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","102
007","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","20","3.650","55.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","10","3.214","30.0","10.0","10.0",".","20.0",".",".","30.0",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","111","3.384","33.3","34.2","15.3","8.1","4.5","0.9","0.9","2.7",".",".",".",".",".",".",".","."
"","203
002","16","3.156","12.5","37.5","37.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.333","15.8","36.8","36.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
005","19","3.026","15.8","26.3","26.3","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"","007
203","18","3.188","33.3","11.1","22.2",".","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"","203
008","18","3.222","11.1","38.9","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","90","3.184","17.8","30.0","32.2","5.6","10.0","1.1",".","3.3",".",".",".",".",".",".",".","."
"","204
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","20","2.950","10.0","25.0","30.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
004","22","2.929","4.5","27.3","31.8","22.7","4.5","4.5",".","4.5",".",".",".",".",".",".",".","."
"","204
006","17","3.469","29.4","41.2","17.6",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","204
008","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","77","3.180","18.2","31.2","27.3","14.3","3.9","2.6",".","2.6",".",".",".",".",".",".",".","."
"","228
001","17","3.528","11.8","82.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","23","3.526","13.0","78.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","21","3.677","47.6","33.3","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".","4.8","."
"","228
004","17","3.526","29.4","64.7",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","228
005","22","3.721","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","100","3.599","31.0","59.0","6.0","1.0",".","1.0",".","1.0",".",".",".",".",".",".","1.0","."
"","271
001","15","3.327","26.7","33.3","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","12","3.513","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","19","3.492","47.4","21.1","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","46","3.443","41.3","23.9","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","001
302","30","3.857","83.3","6.7",".",".",".","3.3",".","3.3",".",".",".",".",".","3.3",".","."
"Adv Composition & Conversation","311
001","15","3.333","26.7","20.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","13","3.308","46.2","23.1","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","321
002","9","3.500","55.6","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","22","3.386","50.0","27.3","9.1","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","322
001","20","2.950","25.0","35.0","15.0","5.0",".","15.0","5.0",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 212 of 409",""
