"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","112","3.928","87.5","10.7",".",".","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","26","2.462","3.8",".","26.9","38.5","26.9",".","3.8",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","209","3.703","71.3","14.8","7.2","2.4","2.4","1.0","1.0",".",".",".",".",".",".",".",".","."
"","120","001","25","2.720","16.0","16.0","12.0","16.0","36.0","4.0",".",".",".",".",".",".",".",".",".","."
"","120","002","59","3.095","22.0","20.3","30.5","15.3","5.1","5.1",".",".","1.7",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","84","2.982","20.2","19.0","25.0","15.5","14.3","4.8",".",".","1.2",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","75","3.400","45.3","12.0","32.0","1.3","8.0","1.3",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","48","3.146","12.5","35.4","35.4","10.4","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","17","3.206","29.4","29.4","11.8","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","35","3.586","62.9","11.4","20.0","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","250","001","40","3.663","67.5","7.5","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","44","3.193","36.4","11.4","29.5","4.5","15.9","2.3",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","36","2.903","19.4","25.0","19.4","11.1","16.7","5.6","2.8",".",".",".",".",".",".",".",".","."
"","339","001","50","2.927","16.0","8.0","34.0","22.0","16.0",".",".","2.0",".",".",".",".",".","2.0",".","."
"","339","002","59","2.907","18.6","10.2","33.9","18.6","15.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","109","2.916","17.4","9.2","33.9","20.2","15.6","0.9","0.9","0.9",".",".",".",".",".","0.9",".","."
"Environmental Economics","343","001","30","3.171","16.7","23.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","34","3.368","35.3","29.4","14.7","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","26","3.404","42.3","26.9","15.4","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","29","2.810","17.2","24.1","17.2","20.7","6.9","10.3","3.4",".",".",".",".",".",".",".",".","."
"Envr Law, Toxic Subst&Consv","368","001","81","2.955","12.3","19.8","33.3","13.6","16.0",".","1.2","3.7",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","9","3.278","44.4",".","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","402","001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","28","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","57","3.779","71.9","24.6","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Impact-Livestock Operatn","468","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","98","3.603","49.0","24.5","22.4","3.1",".",".",".",".",".",".",".",".",".",".","1.0","."
"Ecology of Fishes","510","001","21","3.119","23.8","14.3","33.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","511","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","511","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioclimatology","520","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Pol Eclgy in Mainland SE Asia","557","001","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 153 of 409",""
