"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"Exploring Biology","100
001","159","3.804","84.9","6.9","3.1","0.6","1.3","0.6","1.9",".",".",".",".",".","0.6",".",".","."
"","101
001","150","2.443","12.0","7.3","27.3","13.3","21.3","12.7","6.0",".",".",".",".",".",".",".",".","."
"","002
101","129","2.367","12.4","3.9","35.7","8.5","16.3","10.9","11.6",".",".",".",".",".",".","0.8",".","."
"Animal Biology","Course Total","279","2.408","12.2","5.7","31.2","11.1","19.0","11.8","8.6",".",".",".",".",".",".","0.4",".","."
"","102
001","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.350","20.0","50.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","7","3.071",".","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
008","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","010
102","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
011","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
102","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","015
102","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","8","3.250",".","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","123","3.447","30.1","40.7","20.3","6.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"General Botany","001
130","35","2.957","34.3","5.7","25.7","8.6","17.1","5.7","2.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","237","2.792","16.0","7.2","38.0","10.5","21.9","4.6","1.3",".",".",".",".",".","0.4",".",".","."
"","152
001","243","3.095","22.6","14.8","42.8","4.9","10.7","3.7",".",".",".",".",".",".","0.4",".",".","."
"","152
002","266","2.992","15.8","10.9","49.6","8.6","13.2","1.1","0.8",".",".",".",".",".",".",".",".","."
"","003
152","138","3.062","18.1","13.0","47.8","8.0","10.1","2.2",".",".",".",".",".",".","0.7",".",".","."
"Introductory Biology","Course Total","647","3.046","18.9","12.8","46.7","7.1","11.6","2.3","0.3",".",".",".",".",".","0.3",".",".","."
"","261
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research Part 2","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","3","***","","","","","","","","","","","","","","","",""
"Special Topics","375
005","36","4.000","97.2",".",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","399
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship/Field Experience","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Mentor Training","660
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
