"","990
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","50","",".",".",".",".",".",".",".","78.0",".",".",".","12.0",".",".","10.0","."
"PATH
704","Dept. Total","495","3.422","30.9","21.8","19.0","6.1","1.4","0.4","0.4","7.9",".","8.7",".","1.2","0.8",".","1.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","2.667","66.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".",".","."
"Junior","","73","3.226","30.1","27.4","20.5","12.3","6.8","1.4","1.4",".",".",".",".",".",".",".",".","."
"Senior","","125","3.519","40.0","32.8","18.4","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","201","3.401","36.8","30.3","18.9","10.0","2.5","0.5","1.0",".",".",".",".",".",".",".",".","."
"Special","","13","3.700","61.5",".",".",".","7.7",".",".",".",".",".",".",".","30.8",".",".","."
"Graduate","","163","3.639","38.7","0.6","7.4",".",".",".",".","21.5",".","24.5",".","3.7",".",".","3.7","."
"Prof Yr 1","","129","3.337","22.5","34.9","33.3","7.8","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","16","3.900","50.0","6.3",".",".",".",".",".","25.0",".","18.8",".",".",".",".",".","."
"Prof Yr 4","","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Professionals","","159","3.387","30.8","28.9","27.7","6.3","0.6","0.6",".","2.5",".","1.9",".",".",".",".","0.6","."
"","Dept. Total","536","3.422","36.2","20.1","17.5","5.6","1.3","0.4","0.4","7.3",".","8.0",".","1.1","0.7",".","1.3","."
