"GEOGRAPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.800","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"766","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Geog Inquiry&Anal:Technique","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"901","001","","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"901","002","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Seminar-Cultural Geography","Course Total","","19","4.000","78.9",".",".",".",".",".",".","15.8",".",".",".",".","5.3",".",".","."
"930
Smr-People/Environment Geog","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Seminar in Geographic Info Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","43","",".",".",".",".",".",".",".","76.7",".",".",".","18.6","2.3",".","2.3","."
"999
Independent Work","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
