"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"362
Topics in German Literature","001","","18","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"372","001","","21","3.825","61.9","33.3",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"372","004","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","40","3.782","57.5","37.5","2.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"385
Honors Seminar-German Lit","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"392
German for Grad Reading II","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"402","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"404","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"644
Theory & Practice of Drama","001","","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"723
Pract-Teachng Undergrad Lit","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"758","002","","10","4.000","70.0",".",".",".",".",".",".","20.0",".",".",".",".","10.0",".",".","."
"Topics-Contemporary German","Course Total","","20","4.000","80.0",".",".",".",".",".",".","15.0",".",".",".",".","5.0",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"947
Seminar-German Lit & Culture","001","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-German Linguistics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","10","",".",".",".",".",".",".",".","80.0","10.0",".",".","10.0",".",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 222 of 409",""
