"TERM : 1134","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2012-2013","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","",""
"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","",""
"E P D
Dept. Total
348","1012","3.557","48.8","26.5","16.9","4.0","1.7","0.3","0.4","",".","",".",".","",".","",".","1.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","71","3.200","29.6","22.5","32.4","7.0","5.6","1.4","1.4","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","196","3.417","29.1","38.3","25.5","5.6","1.0","0.5",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","159","3.464","44.0","27.7","22.6","2.5","2.5",".","0.6","",".","",".",".","",".","",".",".",".",".","."
"Senior","321","3.452","39.6","33.3","17.8","5.9","1.9","0.3","0.3","",".","",".",".","",".","",".","0.9",".",".","."
"Undergraduates","747","3.427","36.8","32.4","22.2","5.2","2.1","0.4","0.4","",".","",".",".","",".","",".","0.4",".",".","."
"Special","6","3.136","66.7","16.7",".",".",".",".","16.7","",".","",".",".","",".","",".",".",".",".","."
"Graduate","259","3.918","83.0","9.7","1.9","0.4","0.4",".",".","",".","",".",".","",".","",".","4.6",".",".","."
"Dept. Total","1012","3.557","48.8","26.5","16.9","4.0","1.7","0.3","0.4","",".","",".",".","",".","",".","1.5",".",".","."
