"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
003","","8","3.438","50.0",".","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","502
006","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
007","","24","3.667","50.0","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","51","3.798","66.7","19.6","9.8","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"","700
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","Course Total","","21","3.778","81.0",".",".",".",".",".","4.8",".",".",".",".",".","14.3",".",".","."
"Intro-Higher & Post-Sec Ed","701
001","","22","3.659","72.7","18.2",".","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"Eval & Support Quality Teachng","703
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilitating Adult Learning","742
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching-Learning: Adult Ed","748
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"HPE Capstone Seminar","777
001","","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831
001","","23","3.870","87.0",".","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841
001","","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Technology Leadership","844
001","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Instr Leadership&Tchr Capacity","847
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","","22","3.929","86.4","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Theory&Practice-Ed Planning","875
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
940","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","940
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
004","","24","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940
005","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","940
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
940","","13","3.864","69.2","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".","7.7","."
"Topics Seminar-Educ Leadership","Course Total","","80","3.954","82.5","5.0","2.5",".",".",".",".","1.3",".",".",".",".","7.5",".","1.3","."
"","990
003","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
036","","19","",".",".",".",".",".",".",".","84.2",".",".",".","15.8",".",".",".","."
"","990
042","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1",".",".","."
"","990
043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
048","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
