"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","221","3.030","10.9","28.1","29.9","19.5","10.4","0.9",".",".",".",".",".",".",".",".",".","0.5"
"","002
103","236","3.028","10.2","26.7","32.6","21.2","8.9",".","0.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","457","3.029","10.5","27.4","31.3","20.4","9.6","0.4","0.2",".",".",".",".",".",".",".",".","0.2"
"","104
001","317","3.130","25.6","20.8","23.0","16.4","12.9","0.9",".",".",".",".",".",".","0.3",".",".","."
"","104
002","251","3.036","19.5","20.7","25.9","18.3","14.3","0.8","0.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","568","3.088","22.9","20.8","24.3","17.3","13.6","0.9","0.2",".",".",".",".",".","0.2",".",".","."
"Ideas of Modern Physics","107
001","65","3.556","43.1","27.7","23.1",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"","109
001","115","2.920","18.3","19.1","20.0","17.4","19.1","2.6","0.9","2.6",".",".",".",".",".",".",".","."
"","109
002","114","3.272","37.7","25.4","14.9","7.9","10.5","1.8","1.8",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","229","3.097","27.9","22.3","17.5","12.7","14.8","2.2","1.3","1.3",".",".",".",".",".",".",".","."
"Energy","115
001","51","3.098","25.5","25.5","31.4","2.0","5.9","7.8","2.0",".",".",".",".",".",".",".",".","."
"General Physics","201
001","256","2.896","20.7","19.9","14.8","20.3","18.0","5.9","0.4",".",".",".",".",".",".",".",".","."
"","202
001","127","2.865","15.0","13.4","21.3","33.9","14.2","0.8","0.8",".",".",".",".",".",".",".",".","0.8"
"","002
202","303","2.902","14.2","16.2","27.7","27.7","10.2","3.0","0.7",".",".",".",".",".",".",".",".","0.3"
"General Physics","Course Total","430","2.891","14.4","15.3","25.8","29.5","11.4","2.3","0.7",".",".",".",".",".",".",".",".","0.5"
"Mod Physics for Engineers","205
001","32","3.032","25.0","12.5","31.3",".","28.1",".",".",".",".",".",".",".",".",".","3.1","."
"General Physics","207
001","131","3.196","19.1","30.5","28.2","16.0","3.8","1.5",".",".",".",".",".",".",".",".",".","0.8"
"General Physics","208
001","229","3.138","21.8","22.3","31.4","14.8","7.4","2.2",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","32","2.919","15.6","18.8","21.9","15.6","25.0",".",".","3.1",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","49","3.204","26.5","22.4","26.5","18.4","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","8","3.125","25.0",".","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","44","3.915","77.3","15.9",".",".",".",".",".",".",".",".",".",".","2.3","4.5",".","."
"","308
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
003","12","3.375","25.0","41.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","308
004","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","47","3.564","34.0","48.9","12.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","001
311","57","3.711","71.9","15.8","7.0",".","3.5",".","1.8",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","48","2.935","18.8","14.6","39.6","6.3","10.4",".","6.3","4.2",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","17","2.607","11.8",".","35.3","17.6","5.9","5.9","5.9","5.9",".",".",".",".",".","11.8",".","."
"Acoustics for Musicians","371
001","16","3.500","18.8","37.5","18.8",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Special Topics in Physics","406
001","15","3.284","53.3","6.7","20.0",".","6.7",".","6.7","6.7",".",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","25","3.667","44.0","40.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","34","3.059","26.5","8.8","23.5","32.4","8.8",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","27","3.217","29.6","14.8","18.5","14.8","3.7","3.7",".",".",".",".",".",".","14.8",".",".","."
"","499
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"Graduate Laboratory","507
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
