"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
004","4","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Nonprofit Sector: Overview","300
001","32","3.125","9.4","28.1","40.6","21.9",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"","350
001","23","3.870","87.0","4.3","4.3","4.3",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"","350
002","12","3.417","25.0","33.3","41.7",".",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"Community Iss & Serv Learng","Course Total","35","3.714","65.7","14.3","17.1","2.9",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","20","3.945","90.0","5.0","5.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","40","3.738","60.0","30.0","7.5","2.5",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"Leadership&Mgt-Nonprofit Orgs","460
001","21","3.711","52.4","28.6","4.8","4.8",".",".","",".","",".",".","",".",".","",".","9.5",".",".","."
"","501
002","9","4.000","100.0",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"","501
004","7","4.000","100.0",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"","006
501","13","3.667","46.2","30.8","15.4",".",".",".","",".","","7.7",".","",".",".","",".",".",".",".","."
"","501
007","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","501
008","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Special Topics","Course Total","32","3.778","75.0","12.5","6.3",".","3.1","",".","",".","3.1","",".",".","",".",".",".",".",".","."
"Community Leadershp","560
001","25","3.700","64.0","20.0","12.0",".","4.0",".","",".","",".",".","",".",".","",".",".",".",".","."
"Community Based Resrch & Eval","570
001","17","3.706","64.7","11.8","23.5",".",".",".","",".","",".",".","",".",".","",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","699
004","6","4.000","83.3",".",".",".",".",".","",".","",".",".","",".",".","",".","16.7",".",".","."
"","699
005","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","9","4.000","88.9",".",".",".",".","",".","",".",".","",".",".","",".",".","11.1",".",".","."
"Research Methods","793
001","11","3.750","54.5","27.3","9.1",".",".",".","",".","",".",".","",".",".","",".","9.1",".",".","."
"","990
005","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
010","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
053","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"INTER-HE
498","Dept. Total","253","3.681","58.5","19.0","13.4","4.0","0.8","",".","",".","1.6","",".",".","",".","0.8","2.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","15","3.393","40.0","20.0","26.7","13.3",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","63","3.557","47.6","22.2","17.5","9.5","1.6","",".","",".",".","",".",".","",".",".","1.6",".",".","."
"Senior","","129","3.751","65.1","18.6","11.6","1.6","0.8","",".","",".",".","",".",".","",".",".","2.3",".",".","."
"Undergraduates","","207","3.666","58.0","19.8","14.5","4.8","1.0","",".","",".",".","",".",".","",".",".","1.9",".",".","."
"Special","","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","43","3.815","62.8","16.3","4.7",".",".","",".","",".","9.3","",".",".","",".","4.7","2.3",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","253","3.681","58.5","19.0","13.4","4.0","0.8","",".","",".","1.6","",".",".","",".","0.8","2.0",".",".","."
