"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","151","3.232","23.8","27.2","33.8","6.0","7.3","2.0",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","23","3.304","17.4","39.1","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","22","3.545","36.4","45.5","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","410
002","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","28","3.518","39.3","39.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","21","3.450","38.1","23.8","19.0","14.3",".",".",".","4.8",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","25","3.438","28.0","36.0","24.0","8.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Residentl Property Devlpmnt","001
611","46","3.533","50.0","19.6","23.9","4.3",".","2.2",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","18","3.639","61.1","5.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Urban Economics","001
720","18","3.588","38.9","33.3","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","740
001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Equity Investmt","Course Total","18","3.618","38.9","38.9","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Commercial Proprty Devlpmnt","750
001","17","3.406","29.4","29.4","23.5","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"","765
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","10","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","43","3.850","83.7",".","9.3",".",".",".",".",".",".",".",".",".","7.0",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","445","3.440","40.2","24.9","24.3","4.3","3.1","0.9",".","0.4",".",".",".",".","1.6","0.2",".","."
