"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","318","2.913","17.0","20.1","24.5","15.4","16.7","5.7",".",".",".",".",".",".","0.3",".","0.3","."
"","002
101","331","2.889","16.9","20.5","20.8","18.4","17.8","4.2","0.9",".",".",".",".",".",".",".","0.3","."
"","101
003","305","2.933","17.4","20.7","25.6","15.1","15.1","5.9",".",".",".",".",".",".","0.3",".",".","."
"","101
004","256","2.833","13.7","19.5","26.6","19.9","10.2","9.4","0.4","0.4",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1210","2.895","16.4","20.2","24.2","17.1","15.2","6.1","0.3","0.1",".",".",".",".","0.2",".","0.2","."
"","102
001","225","2.931","8.0","22.7","32.4","24.9","10.2","1.8",".",".",".",".",".",".",".",".",".","."
"","002
102","201","2.827","16.9","18.4","17.9","21.9","17.4","4.5","2.0",".",".",".",".",".","0.5","0.5",".","."
"","102
003","175","2.849","16.6","18.3","21.7","22.3","14.9","4.0","2.3",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","601","2.872","13.5","20.0","24.5","23.1","14.0","3.3","1.3",".",".",".",".",".","0.2","0.2",".","."
"Prin/Econ-Accelratd Treatmt","111
001","34","2.941","11.8","23.5","38.2","11.8","8.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","15","2.700","13.3","6.7","26.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".","."
"","300
002","10","2.550",".","30.0","20.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","25","2.640","8.0","16.0","24.0","16.0","32.0",".","4.0",".",".",".",".",".",".",".",".","."
"","301
001","196","2.773","19.4","10.7","27.0","17.3","15.3","7.1","3.1",".",".",".",".",".",".",".",".","."
"","002
301","211","2.833","20.4","13.3","22.7","17.1","19.0","5.2","1.9",".",".",".",".",".",".",".",".","0.5"
"Intmed Microeconomic Theory","Course Total","407","2.804","19.9","12.0","24.8","17.2","17.2","6.1","2.5",".",".",".",".",".",".",".",".","0.2"
"","001
302","117","2.890","17.9","23.1","17.9","13.7","17.1","6.8","0.9",".",".",".",".",".","0.9",".","1.7","."
"","002
302","119","2.881","14.3","18.5","31.1","15.1","14.3","4.2","1.7",".",".",".",".",".","0.8",".",".","."
"","302
003","85","3.606","42.4","42.4","9.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","321","3.079","23.1","26.5","20.6","12.1","11.5","4.0","0.9",".",".",".",".",".","0.6",".","0.6","."
"The Real Estate Process","306
001","63","2.806","6.3","22.2","22.2","28.6","15.9","3.2",".",".",".",".",".",".",".","1.6",".","."
"Stats:Measrmnt in Economics","001
310","230","3.004","18.3","18.3","32.2","15.7","13.0","1.7","0.9",".",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","32","3.484","37.5","31.3","25.0","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","5","***","","","","","","","","","","","","","","","",""
"Money and Banking","330
001","185","2.770","7.0","18.4","25.4","29.7","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","94","2.994","19.1","13.8","39.4","6.4","10.6","6.4",".","1.1",".",".",".",".","2.1","1.1",".","."
"Contemporary Economic Issues","390
014","65","3.352","26.2","29.2","35.4","6.2",".","1.5",".","1.5",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","110","3.000","20.9","20.9","19.1","22.7","11.8","2.7","0.9","0.9",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","19","2.921","15.8","26.3","31.6","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421
001","10","2.950","30.0","30.0",".","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"The Financial System","435
001","41","3.390","36.6","24.4","34.1",".",".","4.9",".",".",".",".",".",".",".",".",".","."
"Human Resources-Econ Growth","001
448","90","3.039","22.2","12.2","34.4","17.8","12.2",".","1.1",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","117","2.996","16.2","24.8","24.8","20.5","10.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","102","3.181","35.3","19.6","18.6","16.7","4.9","1.0","3.9",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","001
474","43","3.070","20.9","16.3","34.9","16.3","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"Economics of Growth","475
001","23","2.826","21.7","17.4","34.8","8.7","4.3",".","13.0",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521
001","71","3.257","36.6","8.5","35.2","8.5","8.5","1.4",".",".",".",".",".",".","1.4",".",".","."
"Law and Economics","522
001","128","3.000","19.5","17.2","32.8","17.2","9.4","1.6","2.3",".",".",".",".",".",".",".",".","."
