"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","090","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","218","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","245","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","263","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"Master's Research or Thesis","Course Total","","70","",".",".",".",".",".",".",".","47.1",".",".",".","51.4","1.4",".",".","."
"821
Optimal Control&Variatnl Mthds","001","","8","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Estimation&Decision Theory","001","","26","3.308","23.1","23.1","50.0",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"842
Topics in Applied Algebra","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"848
Nonlinear Waves","001","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"890","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","17","",".",".",".",".",".",".",".","5.9",".",".",".","94.1",".",".",".","."
"890","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 118 of 409",""
