"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","189","3.778","74.1","14.8","7.4","2.1","1.1",".","0.5",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Social Aspects","340
001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
451","","17","3.618","52.9","29.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","38","3.816","76.3","15.8","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","517
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Health Information","Course Total","","14","3.885","78.6","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","551
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
004","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","56","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","569
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Records Management","616
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
620","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","001
629","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Young Adult Literature","Course Total","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","642
001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","12","3.458","16.7","75.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","20","3.525","30.0","55.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Info Services Management","Course Total","","22","3.833","63.6","31.8",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","655
001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","655
002","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","24","3.761","58.3","29.2","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","661
001","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 251 of 409",""
