"","990
057","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
062","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
063","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","10","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"ANATOMY
144","Dept. Total","278","3.728","31.3","1.1","1.1",".","0.4","0.4","0.4","63.7","0.4",".",".","",".","",".",".",".","1.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Junior","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Senior","","29","3.641","86.2","3.4","3.4",".","3.4",".","3.4",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","42","3.736","88.1","4.8","2.4",".","2.4",".","2.4",".",".",".",".","",".","",".",".",".","."
"Special","","2","1.000",".",".",".",".",".","50.0",".","50.0",".",".",".","",".","",".",".",".","."
"Graduate","","21","3.683","38.1","4.8","9.5",".",".",".",".","47.6",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","206","4.000","17.5",".",".",".",".",".",".","80.6","0.5",".",".","",".","",".",".",".","1.5"
"Prof Yr 2","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","14.3"
"Professionals","","213","4.000","19.7",".",".",".",".",".",".","77.9","0.5",".",".","",".","",".",".",".","1.9"
"","Dept. Total","278","3.728","31.3","1.1","1.1",".","0.4","0.4","0.4","63.7","0.4",".",".","",".","",".",".",".","1.4"
