"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","85","2.548","14.1","11.8","17.6","23.5","15.3","11.8","4.7",".",".",".",".",".",".",".",".","1.2"
"","252
001","49","3.224","42.9","22.4","10.2","6.1","8.2","10.2",".",".",".",".",".",".",".",".",".","."
"","252
002","55","3.109","25.5","25.5","23.6","3.6","18.2","3.6",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","104","3.163","33.7","24.0","17.3","4.8","13.5","6.7",".",".",".",".",".",".",".",".",".","."
"Fund of Human-Comp Interaction","270
001","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Directed Study in Comp Sci","298
001","51","",".",".",".",".",".",".",".",".",".","98.0",".",".",".",".",".","2.0"
"","302
001","175","2.899","27.4","6.9","32.6","7.4","16.6","3.4","4.6","1.1",".",".",".",".",".",".",".","."
"","302
002","170","2.775","19.4","7.1","32.9","12.4","18.2","4.1","4.1","1.2","0.6",".",".",".",".",".",".","."
"","302
003","20","2.950","15.0","15.0","45.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","302
004","26","2.840","15.4",".","38.5","23.1","19.2",".",".","3.8",".",".",".",".",".",".",".","."
"","302
005","17","3.029","29.4","5.9","47.1",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","302
006","28","3.268","53.6","3.6","25.0",".","10.7","3.6","3.6",".",".",".",".",".",".",".",".","."
"","302
007","17","2.882","29.4","5.9","29.4","17.6","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","008
302","28","2.615","14.3","3.6","42.9","3.6","17.9",".","10.7",".",".",".",".",".","3.6",".",".","3.6"
"Introduction to Programming","Course Total","481","2.865","24.3","6.4","34.1","9.8","16.0","3.1","4.6","1.0","0.2",".",".",".","0.2",".",".","0.2"
"Prob Solvng Using Computers","310
001","112","3.165","25.9","14.3","42.9","6.3","8.0","2.7",".",".",".",".",".",".",".",".",".","."
"","352
001","43","2.802","14.0","23.3","20.9","20.9","9.3","9.3","2.3",".",".",".",".",".",".",".",".","."
"","002
352","43","3.058","18.6","25.6","23.3","18.6","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","86","2.930","16.3","24.4","22.1","19.8","10.5","5.8","1.2",".",".",".",".",".",".",".",".","."
"","354
001","51","3.200","43.1","17.6","13.7","5.9","7.8","7.8","2.0",".",".",".",".",".",".","2.0",".","."
"","354
002","58","3.043","32.8","19.0","15.5","13.8","8.6","8.6","1.7",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","109","3.116","37.6","18.3","14.7","10.1","8.3","8.3","1.8",".",".",".",".",".",".","0.9",".","."
"","367
001","81","3.081","21.0","18.5","38.3","7.4","9.9","2.5","1.2",".",".",".",".",".",".",".","1.2","."
"","367
002","208","2.862","22.1","12.0","28.4","14.4","14.9","3.4","4.3",".",".",".",".",".","0.5",".",".","."
"Intro to Data Structures","Course Total","289","2.923","21.8","13.8","31.1","12.5","13.5","3.1","3.5",".",".",".",".",".","0.3",".","0.3","."
"Learn a Programming Language","368
003","68","",".",".",".",".",".",".",".",".",".","88.2","11.8",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","16","3.094","37.5","25.0","18.8","6.3",".",".","12.5",".",".",".",".",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Mobl Systms&Applctns","407
001","75","3.588","44.0","33.3","20.0",".",".","1.3",".","1.3",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","65","3.092","27.7","20.0","26.2","10.8","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","15","3.036","33.3","13.3","13.3","6.7","20.0","6.7",".",".",".",".",".",".",".",".","6.7","."
"Numerical Linear Algebra","513
001","17","2.912","35.3","11.8","11.8","5.9","23.5","11.8",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","49","3.418","36.7","26.5","32.7",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","30","2.967","33.3","23.3","10.0","10.0","6.7","13.3","3.3",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","001
536","81","3.158","33.3","21.0","23.5","4.9","7.4","3.7","3.7",".",".",".",".",".","2.5",".",".","."
"Intro to Operating Systems","002
537","73","3.289","32.9","31.5","12.3","12.3","5.5","2.7",".","2.7",".",".",".",".",".",".",".","."
"","540
001","58","3.036","31.0","17.2","25.9","3.4","8.6","5.2","5.2","1.7",".",".",".",".","1.7",".",".","."
"","540
002","64","3.195","32.8","23.4","17.2","15.6","7.8",".","3.1",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","122","3.121","32.0","20.5","21.3","9.8","8.2","2.5","4.1","0.8",".",".",".",".","0.8",".",".","."
"Intro-Computer Architecture","552
001","28","3.411","50.0","14.3","21.4","3.6","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","40","3.225","17.5","35.0","37.5","5.0","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","55","3.180","29.1","20.0","20.0","25.5","1.8","1.8",".","1.8",".",".",".",".",".",".",".","."
