"Advanced Bioinformatics","776
001","","6","3.500","50.0",".","50.0",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Biostats & Biomed Informatics","826
003","","12","3.917","83.3","16.7",".",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","6","4.000","50.0",".",".",".","",".",".","",".","50.0",".","",".",".","",".","",".","",".",".","."
"Hlth Informatics-Med Students","918
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"B M I
210","Dept. Total","","57","3.635","50.9","29.8","10.5",".","",".","",".","1.8","7.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Special","","","11","3.650","45.5","27.3","18.2",".","",".","",".",".","9.1","",".",".","",".","",".","",".",".",".","."
"Graduate","","","38","3.655","57.9","23.7","7.9",".","",".","",".","2.6","7.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","3","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","3.400","25.0","50.0","25.0",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","8","3.523","25.0","62.5","12.5",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","57","3.635","50.9","29.8","10.5",".","",".","",".","1.8","7.0","",".",".","",".","",".","",".",".",".","."
