"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","20","3.025","25.0","10.0","40.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","21","3.476","47.6","23.8","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","182","3.167","20.3","23.1","38.5","6.6","9.3","0.5","0.5",".",".",".",".",".","0.5","0.5",".","."
"351
Struct&Property Rels-Solids","001","","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","32","2.969","18.8","15.6","31.3","15.6","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"361","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361","003","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory II","Course Total","","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Special Topics in Mat Sci&Engr","001","","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","39","3.423","20.5","43.6","35.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Capstone Project II","001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","23","3.614","56.5","17.4","13.0","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","30","3.700","56.7","30.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.885","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Structural Anal of Matrial","001","","18","3.139","22.2","22.2","38.9","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"750
Imperfectns&Mech Properties","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"758
Trans Electron Microscopy Lab","001","","14","",".",".",".",".",".",".",".","50.0",".",".",".",".","14.3",".","35.7","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","26","",".",".",".",".",".",".",".","57.7",".",".",".","42.3",".",".",".","."
"803","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 139 of 409",""
