"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","2317","2.965","29.3","12.6","27.2","7.4","13.6","4.2","2.1","2.7","",".",".","",".","0.6","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","266","2.600","18.0","7.9","33.1","12.0","15.4","7.5","6.0",".","",".",".","",".",".",".",".",".","."
"Sophomore","","527","2.918","25.4","16.5","28.5","6.8","15.6","4.7","2.1","0.2","",".",".","",".",".","0.2",".",".","."
"Junior","","498","2.904","25.3","13.9","29.5","8.2","16.3","4.4","2.0",".","",".",".","",".",".","0.4",".",".","."
"Senior","","850","3.112","34.7","12.9","27.6","7.2","12.7","3.4","1.2","0.2","",".",".","",".",".",".",".",".","."
"Undergraduates","","2141","2.953","28.2","13.4","29.0","7.9","14.6","4.5","2.2","0.1","",".",".","",".",".","0.1",".",".","."
"Special","","32","3.080","31.3","6.3","15.6","6.3","3.1","6.3","3.1","25.0","",".",".","",".",".","3.1",".",".","."
"Graduate","","143","3.683","46.2","2.1","3.5",".","1.4",".","0.7","35.0","",".",".","",".","9.8","1.4",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","2317","2.965","29.3","12.6","27.2","7.4","13.6","4.2","2.1","2.7","",".",".","",".","0.6","0.3",".",".","."
