"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Seminar","992
001","22","3.975","95.5","4.5",".",".",".",".",".",".",".","",".",".","",".",".",".",".","."
"Statistical Consulting","998
001","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".","",".",".","",".",".",".",".","."
"STAT
932","Dept. Total","2197","3.207","37.2","17.0","22.4","6.3","8.8","3.2","1.8","2.4","",".","0.0","",".","0.6","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","3.164","40.8","17.1","21.1","1.3","11.8","3.9","3.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","341","3.042","29.3","16.7","26.4","9.1","11.7","4.1","2.6",".","",".",".","",".",".",".",".",".","."
"Junior","","697","3.151","32.4","16.6","27.1","7.9","11.6","2.7","1.6",".","",".",".","",".",".",".",".",".","."
"Senior","","680","3.140","39.1","14.1","23.1","6.6","9.0","4.7","2.5","0.3","",".",".","",".",".","0.6",".",".","."
"Undergraduates","","1794","3.127","34.7","15.7","25.2","7.4","10.6","3.8","2.2","0.1","",".",".","",".",".","0.2",".",".","."
"Special","","41","3.576","58.5","17.1","14.6","2.4",".","2.4",".","4.9","",".",".","",".",".",".",".",".","."
"Graduate","","360","3.643","47.2","23.1","9.7","1.4","0.8","0.3",".","13.3","",".","0.3","",".","3.9",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.600","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2197","3.207","37.2","17.0","22.4","6.3","8.8","3.2","1.8","2.4","",".","0.0","",".","0.6","0.2",".",".","."
