"BUS","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","17","3.735","70.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","35","3.871","85.7","2.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","83","3.994","98.8","1.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","33","3.409","30.3","36.4","24.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","29","3.207","24.1","31.0","20.7","10.3","13.8",".",".",".",".",".",".",".",".",".",".","."
"","303
003","","22","3.405","36.4","9.1","45.5","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Theory-Interst & Life Insur","Course Total","","84","3.337","29.8","27.4","28.6","6.0","7.1",".",".",".",".",".",".",".","1.2",".",".","."
"Contemporary Topics","001
365","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","52","3.490","40.4","30.8","21.2",".","3.8","1.9",".",".",".",".",".",".",".",".","1.9","."
"","002
651","","44","3.125","18.2","25.0","34.1","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","96","3.321","30.2","28.1","27.1","4.2","8.3","1.0",".",".",".",".",".",".",".",".","1.0","."
"","653
001","","37","3.297","24.3","32.4","27.0","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"","002
653","","24","3.375","37.5","29.2","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Loss Models II","Course Total","","61","3.328","29.5","31.1","24.6","8.2","4.9","1.6",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","32","3.063","12.5","28.1","34.4","9.4","15.6",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","406","3.390","49.8","19.7","20.0","4.2","5.4","0.5",".",".",".",".",".",".","0.2",".","0.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.625","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","84","3.377","61.9","11.9","15.5","6.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","101","3.534","64.4","12.9","17.8",".","4.0",".",".",".",".",".",".",".","1.0",".",".","."
"Senior","","","170","3.343","37.6","25.3","22.9","6.5","6.5","0.6",".",".",".",".",".",".",".",".","0.6","."
"Undergraduates","","","361","3.398","51.2","18.6","19.7","4.4","5.3","0.3",".",".",".",".",".",".","0.3",".","0.3","."
"Special","","","41","3.284","34.1","31.7","22.0","2.4","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"Graduate","","","4","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","406","3.390","49.8","19.7","20.0","4.2","5.4","0.5",".",".",".",".",".",".","0.2",".","0.2","."
