"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","23","3.795","78.3","4.3","8.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","1
002","15","3.607","46.7","26.7","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","1
003","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
004","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
1","24","3.750","79.2","4.2","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","1
006","27","3.333","44.4","33.3",".","3.7","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"","007
1","23","3.457","60.9",".","13.0","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","178","3.719","73.6","10.7","5.6","4.5","3.9",".","0.6","1.1",".",".",".",".",".",".",".","."
"","112
001","27","3.615","40.7","37.0","18.5",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","002
112","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","36","3.677","52.8","30.6","13.9",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","118
001","36","3.809","69.4","16.7","5.6","2.8",".",".",".","5.6",".",".",".",".",".",".",".","."
"","002
118","30","3.966","93.3",".","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"African Dance","Course Total","66","3.881","80.3","9.1","4.5","1.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","126
001","17","3.788","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","126
002","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","Course Total","29","3.722","55.2","27.6","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","23","3.717","56.5","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","25","3.940","96.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Workshop","159
001","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
2","48","3.944","83.3","10.4",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","2
002","42","3.650","66.7","9.5","9.5",".","9.5",".",".",".",".",".",".",".",".",".",".","4.8"
"","2
003","37","3.903","86.5","2.7","8.1",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","2
004","41","4.000","92.7",".",".",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"","005
2","49","3.756","67.3","6.1","8.2","4.1","2.0",".",".","12.2",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","217","3.849","78.8","6.0","5.1","0.9","2.3",".",".","6.0",".",".",".",".",".",".",".","0.9"
"Dance","205
001","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","13","3.737","46.2","38.5",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Contemp Dance Tech & Th IV","Course Total","27","3.598","40.7","40.7","7.4","3.7",".",".",".",".",".",".",".",".","7.4",".",".","."
"","226
001","14","3.522","35.7","35.7","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","226
002","14","3.815","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","28","3.680","53.6","28.6","10.7","3.6",".",".",".","3.6",".",".",".",".",".",".",".","."
"Intro:Dynamcs-Dance Therapy","232
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Collaborative Arts Perform Lab","259
001","33","3.974","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance II","3
001","36","3.970","86.1","5.6",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","312
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th VI","Course Total","14","3.833","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III-B","001
326","14","3.810","64.3","14.3","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
