"","990
039","3","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
079","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"R M I
241","Dept. Total","379","3.446","39.6","30.1","14.5","10.0","4.2","0.3","",".","0.5","",".",".","",".","0.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.500",".",".",".","100.0",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","30","3.028","16.7","23.3","20.0","33.3","6.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","90","3.289","24.4","42.2","13.3","10.0","8.9","1.1","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","157","3.453","40.1","27.4","21.0","8.3","3.2",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","279","3.348","32.3","31.5","18.3","12.2","5.4","0.4","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","9","3.167","33.3","22.2",".","33.3","11.1",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","91","3.801","62.6","26.4","4.4","1.1",".",".","",".","2.2","",".",".","",".","3.3","",".",".",".","."
"","Dept. Total","379","3.446","39.6","30.1","14.5","10.0","4.2","0.3","",".","0.5","",".",".","",".","0.8","",".",".",".","."
