"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","20","3.650","65.0","10.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","002
100","19","3.658","63.2","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","20","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","20","3.850","90.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
005","20","3.800","80.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","117","3.782","77.8","7.7","10.3","1.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","18","3.333","66.7",".","16.7",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","212
001","20","3.650","70.0",".","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","212
003","20","3.650","80.0",".","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","40","3.650","75.0",".","20.0",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","001
250","42","3.726","64.3","21.4","11.9",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","67","3.149","19.4","31.3","31.3","4.5","9.0","4.5",".",".",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","18","3.840","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","20","3.856","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","18","3.667","72.2","11.1",".","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","42","3.655","64.3","11.9","16.7","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media for Life Sciences","002
432","26","3.788","69.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
002","25","3.720","56.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","19","3.833","68.4","21.1","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Pub Info Campaigns & Progms","515
001","22","3.568","50.0","31.8","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","22","3.727","63.6","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","18","3.750","61.1","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis-Comm Research","660
001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","27","3.938","88.9","3.7","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Colloq in Life Sci Communicatn","700
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","880
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","4","***","","","","","","","","","","","","","","","",""
