"ALS","","","","","","","","","","","","","","","","","","","",""
"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","27","",".",".",".",".",".",".",".","51.9",".",".",".","48.1",".",".",".","."
"999
Spec Work-Ag & Appl Economics","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A A E
108","Dept. Total","","610","3.312","39.2","19.5","14.1","8.7","5.9","3.8","0.5","3.1",".",".",".","2.1","2.3","0.3","0.5","."
