"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","",".",".",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".","."
"Sophomore","","45","2.681","8.9","4.4","4.4","15.6","6.7","4.4",".",".",".","55.6","",".",".","",".",".",".","."
"Junior","","81","2.874","23.5","14.8","21.0","11.1","11.1","4.9","1.2","2.5",".","9.9","",".",".","",".",".",".","."
"Senior","","315","3.171","31.7","26.0","20.6","7.3","7.6","2.5","0.3","2.9",".","1.0","",".",".","",".",".",".","."
"Undergraduates","","445","3.088","27.6","21.6","18.9","8.8","8.1","3.1","0.4","2.5",".","9.0","",".",".","",".",".",".","."
"Special","","5","2.227",".",".","20.0","20.0","40.0",".",".",".",".","20.0","",".",".","",".",".",".","."
"Graduate","","97","3.750","25.8","2.1","4.1","1.0",".",".",".","55.7","1.0",".","",".","9.3","",".",".","1.0","."
"","Dept. Total","547","3.124","27.1","17.9","16.3","7.5","6.9","2.6","0.4","11.9","0.2","7.5","",".","1.6","",".",".","0.2","."
